DaysSinceLastElection,NextElection,TransactionAmountAdj
994,2000,144.43
994,2000,144.43
994,2000,866.58
997,2000,157.3
868,2000,7150
1109,2000,2860
1107,2000,357.5
1058,2000,7150
988,2000,3575
1038,2000,3575
871,2000,7150
959,2000,7150
993,2000,2145
1043,2000,7150
1133,2000,1430
981,2000,1430
1060,2000,1430
981,2000,1430
973,2000,715
1024,2000,1430
1008,2000,2860
1051,2000,7150
864,2000,7150
1121,2000,111.54
1030,2000,649.22
1091,2000,147.29
1060,2000,228.8
1121,2000,634.92
1121,2000,194.48
1060,2000,198.77
955,2000,7150
1049,2000,1430
1015,2000,2860
945,2000,1430
1014,2000,1430
1052,2000,1430
1141,2000,1430
934,2000,1430
861,2000,1430
1080,2000,1430
850,2000,1430
1029,2000,7150
945,2000,2860
1081,2000,357.5
1101,2000,1430
1003,2000,1430
1102,2000,1430
919,2000,7150
875,2000,7150
1015,2000,7150
1148,2000,293.15
1142,2000,135.85
1136,2000,177.32
1141,2000,7.15
938,2000,6435
1007,2000,7150
981,2000,1430
987,2000,1430
1088,2000,1430
983,2000,1430
870,2000,7150
966,2000,1430
1004,2000,-1430
951,2000,1430
1039,2000,1430
1046,2000,5720
1066,2000,5720
988,2000,1430
1060,2000,2375.23
1015,2000,1142.57
860,2000,7150
898,2000,1430
946,2000,1430
981,2000,7150
1136,2000,1430
1025,2000,715
1060,2000,715
1056,2000,1430
1102,2000,1430
955,2000,7150
927,2000,7150
1136,2000,1430
1114,2000,1430
1050,2000,1430
1045,2000,2860
965,2000,715
1079,2000,1430
945,2000,4809.09
945,2000,763.62
996,2000,3593.59
989,2000,1229.8
870,2000,3575
876,2000,3575
1113,2000,7150
1002,2000,1430
1114,2000,143
833,2000,-21.45
848,2000,1430
1025,2000,1430
1085,2000,715
1071,2000,1430
1011,2000,1430
1049,2000,7150
959,2000,1430
951,2000,2860
951,2000,2860
962,2000,2860
833,2000,7150
1057,2000,1430
1063,2000,7150
1056,2000,7150
1051,2000,2860
1141,2000,3575
1101,2000,1430
1017,2000,2860
1123,2000,2145
1029,2000,1430
1127,2000,2145
1079,2000,1430
890,2000,1430
853,2000,2860
853,2000,4290
1017,2000,1430
1023,2000,715
1011,2000,1430
1011,2000,1430
1063,2000,2145
860,2000,1430
855,2000,7150
990,2000,2860
855,2000,1430
1056,2000,7150
962,2000,2860
1092,2000,715
994,2000,2860
1098,2000,2860
968,2000,1430
1067,2000,715
1106,2000,357.5
920,2000,715
1134,2000,1430
1063,2000,2860
829,2000,1430
968,2000,5720
1010,2000,1430
863,2000,1430
967,2000,4290
1097,2000,4290
1036,2000,715
833,2000,7150
1120,2000,5720
846,2000,7150
1036,2000,1430
987,2000,5720
809,2000,7150
853,2000,7150
1063,2000,2860
1135,2000,1430
1023,2000,1430
1065,2000,1430
1038,2000,1430
945,2000,1430
855,2000,7150
983,2000,1430
1136,2000,4290
947,2000,715
1084,2000,1430
975,2000,-858
1063,2000,1430
973,2000,5720
1127,2000,7150
958,2000,1430
1015,2000,7150
916,2000,1430
1115,2000,143
1014,2000,2860
987,2000,1430
1054,2000,3575
1113,2000,3575
932,2000,1430
1003,2000,7150
1001,2000,255.97
947,2000,715
828,2000,1430
867,2000,1430
996,2000,143
994,2000,1430
1057,2000,1430
1010,2000,1430
1078,2000,2860
934,2000,3575
1024,2000,35.75
904,2000,1430
878,2000,1430
1058,2000,1430
955,2000,7150
968,2000,715
1021,2000,-1430
911,2000,2860
1109,2000,2860
1093,2000,1430
1077,2000,1430
1036,2000,7150
974,2000,2860
1030,2000,1430
1070,2000,-1430
1011,2000,4290
1087,2000,7150
1137,2000,1430
1016,2000,1430
1133,2000,5720
1084,2000,1430
1063,2000,2860
888,2000,7150
1095,2000,1430
980,2000,1430
1113,2000,143
1053,2000,1430
868,2000,1430
1109,2000,1430
833,2000,286
1050,2000,7150
939,2000,7150
994,2000,7.15
994,2000,14.3
994,2000,7.15
994,2000,7.15
1146,2000,35.75
1140,2000,24.31
1137,2000,24.31
959,2000,1430
938,2000,357.5
1073,2000,214.5
979,2000,1430
